party,short_name,admission_status,admitted_list_type,list_scope,source_url,retrieved_at
Alternative für Deutschland,AfD,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Basisdemokratische Partei Deutschland,dieBasis,not_admitted,Landesliste,,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
bergpartei die überpartei,B*,admitted,Bezirksliste,Einzelne Bezirke,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Bündnis 90 Die Grünen,GRÜNE,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Bündnis Sahra Wagenknecht,BSW,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Christlich Demokratische Union Deutschlands,CDU,admitted,Bezirksliste,Alle Bezirke,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Deutsche Kommunistische Partei,DKP,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Die Heimat,HEIMAT,admitted,Bezirksliste,Einzelne Bezirke,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Die Linke,Die Linke,admitted,Bezirksliste,Alle Bezirke,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Die Urbane. Eine HipHop Partei,Die Urbane.,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Freie Demokratische Partei,FDP,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
FREIE WÄHLER,FREIE WÄHLER,not_admitted,Landesliste,,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
MERA25,MERA25,not_admitted,Landesliste,,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Ökologisch-Demokratische Partei,ÖDP,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Partei des Fortschritts,PdF,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Partei für Arbeit Rechtsstaat Tierschutz Elitenförderung und basisdemokratische Initiative,Die PARTEI,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
PARTEI MENSCH KLIMA TIERSCHUTZ,Tierschutzpartei,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Piratenpartei Deutschland,PIRATEN,not_admitted,Landesliste,,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Sozialdemokratische Partei Deutschlands,SPD,admitted,Bezirksliste,Alle Bezirke,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Sozialistische Gleichheitspartei Vierte Internationale,SGP,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
Volt Deutschland,Volt,admitted,Landesliste,Berlinweit,https://www.berlin.de/wahlen/pressemitteilungen/2026/pressemitteilung.1697177.php,2026-07-25
