party,short_name,submitted_list_type,programme_status,programme_url,candidate_directory_status,candidate_directory_url,notes,retrieved_at
Alternative für Deutschland,AfD,Landesliste,current_2026,https://afd.berlin/abgeordnetenhauswahl/,fragmented,https://afd.berlin/abgeordnetenhauswahl/,2026 programme is published and candidate material remains fragmented,2026-07-25
Basisdemokratische Partei Deutschland,dieBasis,Landesliste,current_2026,https://diebasis-berlin.de/wahlen/,partial,https://diebasis-berlin.de/wahlen/,Programme and candidate material share one page and are not structured,2026-07-22
bergpartei die überpartei,B*,Bezirksliste,older_or_general,,missing,,No discoverable official Berlin 2026 programme or candidate directory,2026-07-22
Bündnis 90 Die Grünen,GRÜNE,Landesliste,current_2026,https://gruene.berlin/wahlprogramm,complete,https://gruene.berlin/unsere-kandidatinnen-fuer-die-liste-zur-abgeordnetenhauswahl-2026,Programme and full Landesliste are published,2026-07-22
Bündnis Sahra Wagenknecht,BSW,Landesliste,current_2026,https://bsw.berlin/wp-content/uploads/Wahlprogramm-BSW-Berlin-AGH-Wahl-2026.pdf,complete,https://bsw.berlin/allgemein/bsw-berlin-komplettiert-landesliste-fuer-die-abgeordnetenhauswahl-2026/,Confirmed 20-person Landesliste and final 2026 election programme,2026-07-25
Christlich Demokratische Union Deutschlands,CDU,Bezirksliste,current_2026,https://berlin-wird.de/image/uploads/data/regierungsprogramm2026_2031.pdf,fragmented,,Candidate material is distributed across district associations,2026-07-22
Deutsche Kommunistische Partei,DKP,Landesliste,partial_2026,https://berlin.dkp.de/dkp-bei-der-abgeordnetenhauswahl/,missing,,Current six-theme campaign overview but no clean standalone programme or list directory,2026-07-22
Die Heimat,HEIMAT,Bezirksliste,older_or_general,https://die-heimat.de/wp-content/uploads/2023/11/Parteiprogramm_Heimat.pdf,missing,,No Berlin 2026 programme or district list directory found,2026-07-22
Die Linke,Die Linke,Bezirksliste,current_2026,https://dielinke.berlin/partei/wahlen/abgeordnetenhauswahlen-2026/wahlprogramm/,complete,https://dielinke.berlin/partei/wahlen/abgeordnetenhauswahlen-2026/,Programme and all 12 district sections are published,2026-07-22
Die Urbane. Eine HipHop Partei,Die Urbane.,Landesliste,partial_2026,https://www.die-urbane.de/die-urbane/landesverbaende/du-berlin.html,missing,,Current campaign positions but no formal programme or Landesliste directory,2026-07-22
Freie Demokratische Partei,FDP,Landesliste,current_2026,https://www.fdp-berlin.de/wahlprogramm,complete,https://www.fdp-berlin.de/ein-starkes-team-fuer-eine-stadt-die-wieder-funktioniert,Candidate profiles include list positions and public contact,2026-07-22
FREIE WÄHLER,FREIE WÄHLER,Landesliste,older_or_general,https://freiewaehler.berlin/wahlprogramm/,fragmented,,Individual candidate sites exist but no official consolidated directory was found,2026-07-22
MERA25,MERA25,Landesliste,partial_2026,https://mera25.de/berlin/,missing,,Current campaign positions but no formal 2026 programme or list directory,2026-07-22
Ökologisch-Demokratische Partei,ÖDP,Landesliste,older_or_general,https://www.oedp-berlin.de/fileadmin/user_upload/01-instanzen/02/030-Programm/Landesprogramm-Berlin.pdf,complete,https://www.oedp-berlin.de/wahlen/abgeordnetenhauswahl-2026/landesliste,Berlin programme is not identified as election-specific,2026-07-22
Partei des Fortschritts,PdF,Landesliste,missing,https://partei-des-fortschritts.de/wahl-zum-abgeordnetenhaus-berlin/,complete,https://partei-des-fortschritts.de/wahl-zum-abgeordnetenhaus-berlin/,Page says the Berlin programme is forthcoming,2026-07-22
Partei für Arbeit Rechtsstaat Tierschutz Elitenförderung und basisdemokratische Initiative,Die PARTEI,Landesliste,current_2026,https://die-partei-berlin.de/,missing,,Ten-point 2026 programme but no central candidate directory,2026-07-22
PARTEI MENSCH KLIMA TIERSCHUTZ,Tierschutzpartei,Landesliste,current_2026,https://berlin.tierschutzpartei.de/wahlprogramm-berlin-2026.pdf,complete,https://berlin.tierschutzpartei.de/berliner-wahlen-2026,Landesliste and district lists are published,2026-07-22
Piratenpartei Deutschland,PIRATEN,Landesliste,older_2021,https://www.piratenpartei.berlin/,missing,,Official site still foregrounds 2021 election material,2026-07-22
Sozialdemokratische Partei Deutschlands,SPD,Bezirksliste,current_2026,https://spd.berlin/media/2026/06/SPD-Berlin_Wahlprogramm2026.pdf,complete,https://spd.berlin/kandidatinnen/,All direct candidates and 12 Bezirkslisten are published,2026-07-22
Sozialistische Gleichheitspartei Vierte Internationale,SGP,Landesliste,campaign_material,https://www.wsws.org/de/articles/2026/07/10/sgpb-j10.html,partial,https://www.wsws.org/de/articles/2026/07/13/yziz-j13.html,Election statement and one named lead candidate only,2026-07-25
Volt Deutschland,Volt,Landesliste,current_2026,https://voltdeutschland.org/berlin/programm/programme/programm-berlin-2026,complete,https://voltdeutschland.org/berlin/neuigkeiten/volt-berlin-waehlt-landesliste-2026,Programme and Landesliste are published and all 78 direct candidates are claimed,2026-07-22
